Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
47;infrastructure;YRDSB-A;A8:BD:27:E9:3C:80;;1;No;WPA2,AES-CCM;No;260.0;0;169;0;0;0;0;0;;;Mon Jan  8 12:06:22 2024;Mon Jan  8 12:15:25 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;YRDSB-A;A8:BD:27:D4:40:60;;6;No;WPA2,AES-CCM;No;260.0;0;78;0;0;0;0;0;;;Mon Jan  8 12:06:26 2024;Mon Jan  8 12:14:13 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;YRDSB-S;70:3A:0E:5D:E3:A1;;6;No;WPA2,AES-CCM;No;260.0;0;10;0;7;0;0;7;;;Mon Jan  8 12:06:26 2024;Mon Jan  8 12:15:21 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;;A8:BD:27:D4:40:63;;6;No;WPA2,AES-CCM;No;260.0;0;85;0;0;0;0;0;;;Mon Jan  8 12:06:26 2024;Mon Jan  8 12:14:09 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;;70:3A:0E:5D:E8:E1;;6;No;OPN,None;No;-1.0;0;0;0;12;0;0;12;;;Mon Jan  8 12:06:26 2024;Mon Jan  8 12:15:22 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;YRDSB-Guest;A8:BD:27:E9:39:C2;;1;No;OPN,None;No;260.0;0;71;0;0;0;0;0;;;Mon Jan  8 12:06:27 2024;Mon Jan  8 12:12:57 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;YRDSB-S;A8:BD:27:D4:30:81;;1;No;WPA2,AES-CCM;No;260.0;0;4;0;0;0;0;0;;;Mon Jan  8 12:06:28 2024;Mon Jan  8 12:14:43 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;YRDSB-A;A8:BD:27:D4:30:80;;1;No;WPA2,AES-CCM;No;260.0;0;24;0;0;0;0;0;;;Mon Jan  8 12:06:28 2024;Mon Jan  8 12:14:43 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;;A8:BD:27:E9:87:61;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:06:30 2024;Mon Jan  8 12:13:40 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;YRDSB-Guest;A8:BD:27:D4:30:82;;1;No;OPN,None;No;260.0;0;6;0;0;0;0;0;;;Mon Jan  8 12:06:30 2024;Mon Jan  8 12:15:08 2024;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;;A8:BD:27:D4:44:A1;;1;No;WPA,None;No;-1.0;0;0;0;1112;0;0;1112;;;Mon Jan  8 12:06:34 2024;Mon Jan  8 12:14:56 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;YRDSB-S;A8:BD:27:E9:48:61;;1;No;OPN,None;No;-1.0;0;0;0;9;0;0;9;;;Mon Jan  8 12:06:42 2024;Mon Jan  8 12:15:24 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;YRDSB-Guest;70:3A:0E:5D:E9:82;;11;No;OPN,None;No;260.0;0;31;0;1;0;0;1;;;Mon Jan  8 12:06:45 2024;Mon Jan  8 12:14:21 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.243.107.180;
60;infrastructure;;70:3A:0E:5D:F1:21;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:06:50 2024;Mon Jan  8 12:14:42 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;;A8:BD:27:E9:48:62;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:07:01 2024;Mon Jan  8 12:14:38 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;;A8:BD:27:E9:48:60;;1;No;OPN,None;No;-1.0;0;0;0;1;0;0;1;;;Mon Jan  8 12:07:04 2024;Mon Jan  8 12:07:16 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;;70:3A:0E:5D:E3:A3;;6;No;WPA2,AES-CCM;No;260.0;0;7;0;0;0;0;0;;;Mon Jan  8 12:07:12 2024;Mon Jan  8 12:13:47 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;;00:00:00:00:00:00;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:07:20 2024;Mon Jan  8 12:15:13 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;YRDSB-S;70:3A:0E:5D:E9:81;;11;No;WPA2,AES-CCM;No;260.0;0;1;0;427;0;0;427;;;Mon Jan  8 12:07:20 2024;Mon Jan  8 12:15:25 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;;A8:BD:27:D4:4D:81;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:07:33 2024;Mon Jan  8 12:07:35 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;YRDSB-A;70:3A:0E:5D:E9:80;;11;No;WPA2,AES-CCM;No;260.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:08:07 2024;Mon Jan  8 12:14:21 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
68;infrastructure;;70:3A:0E:5D:E9:83;;11;No;WPA2,AES-CCM;No;260.0;0;42;0;0;0;0;0;;;Mon Jan  8 12:08:07 2024;Mon Jan  8 12:14:20 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;;A8:BD:27:D4:41:03;;11;No;WPA2,AES-CCM;No;260.0;0;123;0;0;0;0;0;;;Mon Jan  8 12:08:09 2024;Mon Jan  8 12:15:25 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
70;infrastructure;;A8:BD:27:E9:44:62;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:08:33 2024;Mon Jan  8 12:11:15 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
71;infrastructure;;A8:BD:27:D4:44:B2;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:08:41 2024;Mon Jan  8 12:08:41 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
72;infrastructure;YRDSB-A;70:3A:0E:5D:E3:A0;;6;No;WPA2,AES-CCM;No;260.0;0;8;0;0;0;0;0;;;Mon Jan  8 12:08:47 2024;Mon Jan  8 12:13:56 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
73;infrastructure;;A8:BD:27:E9:74:A1;;11;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Mon Jan  8 12:08:53 2024;Mon Jan  8 12:08:58 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
74;infrastructure;YRDSB-Guest;70:3A:0E:5D:E3:A2;;6;No;OPN,None;No;260.0;0;11;0;0;0;0;0;;;Mon Jan  8 12:09:13 2024;Mon Jan  8 12:13:46 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
