Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
40;infrastructure;YRDSB-A;A8:BD:27:E9:42:E0;;6;No;WPA2,AES-CCM;No;260.0;0;14;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:05 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;YRDSB-Guest;A8:BD:27:E9:42:E2;;6;No;OPN,None;No;260.0;0;13;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:13 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;YRDSB-S;A8:BD:27:D4:40:61;;6;No;WPA2,AES-CCM;No;260.0;0;11;0;30;0;0;30;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:43 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;YRDSB-A;70:3A:0E:5D:E3:A0;;6;No;WPA2,AES-CCM;No;260.0;0;31;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:36 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;YRDSB-S;70:3A:0E:5D:E3:A1;;6;No;WPA2,AES-CCM;No;260.0;0;36;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:39 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;;70:3A:0E:5D:E3:A3;;6;No;WPA2,AES-CCM;No;260.0;0;34;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:58:36 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;YRDSB-A;70:3A:0E:5D:F1:20;;11;No;WPA2,AES-CCM;No;260.0;0;78;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:58:21 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;YRDSB-S;70:3A:0E:5D:F1:21;;11;No;WPA2,AES-CCM;No;260.0;0;70;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:58:21 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;YRDSB-Guest;70:3A:0E:5D:F1:22;;11;No;OPN,None;No;260.0;0;79;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:58:21 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;;70:3A:0E:5D:F1:23;;11;No;WPA2,AES-CCM;No;260.0;0;70;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:58:21 2024;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
